'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.102,-0.345,0.235,98.000
'0:00.010',-0.102,-0.345,0.236,98.000
'0:00.020',-0.103,-0.346,0.237,98.000
'0:00.030',-0.104,-0.347,0.238,98.000
'0:00.040',-0.105,-0.348,0.239,98.000
'0:00.050',-0.107,-0.349,0.240,98.000
'0:00.060',-0.103,-0.351,0.241,98.000
'0:00.070',-0.099,-0.353,0.242,98.000
'0:00.080',-0.096,-0.355,0.243,98.000
'0:00.090',-0.092,-0.356,0.244,98.000
'0:00.100',-0.089,-0.358,0.245,98.000
'0:00.110',-0.088,-0.358,0.246,98.000
'0:00.120',-0.086,-0.359,0.246,98.000
'0:00.130',-0.085,-0.359,0.247,98.000
'0:00.140',-0.084,-0.359,0.248,98.000
'0:00.150',-0.083,-0.360,0.249,98.000
'0:00.160',-0.085,-0.359,0.250,98.000
'0:00.170',-0.087,-0.359,0.251,98.000
'0:00.180',-0.089,-0.359,0.252,98.000
'0:00.190',-0.091,-0.358,0.252,98.000
'0:00.200',-0.093,-0.358,0.253,98.000
'0:00.210',-0.096,-0.358,0.254,98.000
'0:00.220',-0.098,-0.357,0.255,98.000
'0:00.230',-0.100,-0.357,0.256,98.000
'0:00.240',-0.102,-0.357,0.257,98.000
'0:00.250',-0.104,-0.357,0.257,98.000
'0:00.260',-0.098,-0.357,0.258,98.000
'0:00.270',-0.093,-0.358,0.259,98.000
'0:00.280',-0.087,-0.359,0.259,98.000
'0:00.290',-0.082,-0.359,0.260,98.000
'0:00.300',-0.076,-0.360,0.260,98.000
'0:00.310',-0.080,-0.360,0.261,98.000
'0:00.320',-0.084,-0.359,0.262,98.000
'0:00.330',-0.087,-0.359,0.262,98.000
'0:00.340',-0.091,-0.359,0.263,98.000
'0:00.350',-0.094,-0.358,0.264,98.000
'0:00.360',-0.096,-0.359,0.264,98.000
'0:00.370',-0.098,-0.361,0.265,98.000
'0:00.380',-0.100,-0.362,0.266,98.000
'0:00.390',-0.102,-0.363,0.266,98.000
'0:00.400',-0.103,-0.364,0.267,98.000
'0:00.410',-0.104,-0.363,0.267,98.000
'0:00.420',-0.105,-0.363,0.268,98.000
'0:00.430',-0.105,-0.362,0.269,98.000
'0:00.440',-0.106,-0.361,0.269,98.000
'0:00.450',-0.107,-0.360,0.270,98.000
'0:00.460',-0.114,-0.357,0.270,98.000
'0:00.470',-0.120,-0.355,0.271,98.000
'0:00.480',-0.127,-0.352,0.271,98.000
'0:00.490',-0.133,-0.350,0.272,98.000
'0:00.500',-0.140,-0.347,0.272,98.000
'0:00.510',-0.132,-0.351,0.273,98.000
'0:00.520',-0.124,-0.355,0.273,98.000
'0:00.530',-0.116,-0.358,0.274,98.000
'0:00.540',-0.108,-0.362,0.274,98.000
'0:00.550',-0.101,-0.366,0.274,98.000
'0:00.560',-0.100,-0.367,0.275,98.000
'0:00.570',-0.099,-0.369,0.275,98.000
'0:00.580',-0.098,-0.371,0.275,98.000
