'Elapsed time','ECG','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV'
'0:00.000',-0.020,-0.085,0.220,-0.419,96.000
'0:00.010',-0.020,-0.084,0.209,-0.409,96.000
'0:00.020',-0.025,-0.083,0.198,-0.400,96.000
'0:00.030',-0.010,-0.083,0.187,-0.390,96.000
'0:00.040',-0.010,-0.082,0.177,-0.381,96.000
'0:00.050',-0.015,-0.081,0.166,-0.371,96.000
'0:00.060',-0.010,-0.082,0.153,-0.360,96.000
'0:00.070',-0.020,-0.083,0.140,-0.349,96.000
'0:00.080',-0.025,-0.084,0.128,-0.339,96.000
'0:00.090',-0.040,-0.085,0.115,-0.328,96.000
'0:00.100',-0.035,-0.086,0.102,-0.317,96.000
'0:00.110',-0.055,-0.085,0.090,-0.305,96.000
'0:00.120',-0.040,-0.084,0.077,-0.293,96.000
'0:00.130',-0.055,-0.083,0.065,-0.281,96.000
'0:00.140',-0.055,-0.082,0.053,-0.269,96.000
'0:00.150',-0.045,-0.081,0.040,-0.257,96.000
'0:00.160',0.005,-0.079,0.030,-0.244,96.000
'0:00.170',0.030,-0.078,0.020,-0.232,96.000
'0:00.180',0.060,-0.077,0.011,-0.220,96.000
'0:00.190',0.055,-0.075,0.001,-0.208,96.000
'0:00.200',0.120,-0.074,-0.009,-0.196,96.000
'0:00.210',0.085,-0.075,-0.014,-0.184,96.000
'0:00.220',0.055,-0.075,-0.019,-0.172,96.000
'0:00.230',-0.010,-0.075,-0.024,-0.160,96.000
'0:00.240',-0.005,-0.076,-0.029,-0.148,96.000
'0:00.250',-0.090,-0.076,-0.034,-0.136,96.000
'0:00.260',-0.095,-0.075,-0.038,-0.124,96.000
'0:00.270',-0.110,-0.075,-0.041,-0.113,96.000
'0:00.280',-0.095,-0.074,-0.044,-0.102,96.000
'0:00.290',-0.115,-0.073,-0.047,-0.090,96.000
'0:00.300',-0.095,-0.073,-0.050,-0.079,96.000
'0:00.310',-0.120,-0.073,-0.053,-0.068,96.000
'0:00.320',-0.090,-0.072,-0.055,-0.057,96.000
'0:00.330',-0.080,-0.072,-0.057,-0.046,96.000
'0:00.340',0.200,-0.072,-0.060,-0.036,96.000
'0:00.350',0.535,-0.072,-0.062,-0.025,96.000
'0:00.360',-0.320,-0.072,-0.065,-0.015,96.000
