'Elapsed time','ECG','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV'
'0:00.000',0.040,-0.139,-0.634,-0.064,97.000
'0:00.010',-0.005,-0.139,-0.636,-0.065,97.000
'0:00.020',0.015,-0.138,-0.637,-0.065,97.000
'0:00.030',-0.015,-0.138,-0.638,-0.066,97.000
'0:00.040',-0.025,-0.137,-0.639,-0.066,97.000
'0:00.050',-0.055,-0.137,-0.641,-0.066,97.000
'0:00.060',-0.010,-0.137,-0.638,-0.067,97.000
'0:00.070',-0.015,-0.137,-0.636,-0.067,97.000
'0:00.080',-0.020,-0.138,-0.633,-0.067,97.000
'0:00.090',0.015,-0.138,-0.631,-0.067,97.000
'0:00.100',-0.035,-0.138,-0.628,-0.067,97.000
'0:00.110',-0.015,-0.138,-0.627,-0.067,97.000
'0:00.120',0.005,-0.137,-0.626,-0.067,97.000
'0:00.130',0.020,-0.137,-0.624,-0.068,97.000
'0:00.140',-0.010,-0.137,-0.623,-0.068,97.000
'0:00.150',0.030,-0.137,-0.622,-0.068,97.000
'0:00.160',-0.015,-0.137,-0.624,-0.068,97.000
'0:00.170',-0.005,-0.137,-0.625,-0.068,97.000
'0:00.180',-0.015,-0.137,-0.627,-0.068,97.000
'0:00.190',0.000,-0.137,-0.629,-0.068,97.000
'0:00.200',-0.005,-0.137,-0.631,-0.068,97.000
'0:00.210',0.025,-0.137,-0.630,-0.068,97.000
'0:00.220',-0.020,-0.138,-0.629,-0.067,97.000
'0:00.230',-0.010,-0.138,-0.629,-0.067,97.000
'0:00.240',0.025,-0.139,-0.628,-0.067,97.000
'0:00.250',0.015,-0.139,-0.628,-0.067,97.000
'0:00.260',0.000,-0.138,-0.625,-0.067,97.000
'0:00.270',-0.005,-0.137,-0.622,-0.067,97.000
'0:00.280',-0.020,-0.136,-0.619,-0.067,97.000
'0:00.290',0.000,-0.135,-0.616,-0.066,97.000
