'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.175
'0:00.010',-0.140
'0:00.020',-0.165
'0:00.030',-0.295
'0:00.040',-0.240
'0:00.050',-0.345
'0:00.060',-0.245
'0:00.070',-0.300
'0:00.080',-0.215
'0:00.090',-0.280
'0:00.100',-0.175
'0:00.110',-0.205
'0:00.120',-0.215
'0:00.130',-0.270
'0:00.140',-0.120
'0:00.150',-0.175
'0:00.160',-0.090
'0:00.170',-0.150
'0:00.180',-0.200
'0:00.190',-0.265
'0:00.200',-0.055
'0:00.210',-0.130
'0:00.220',-0.185
'0:00.230',-0.160
'0:00.240',0.095
'0:00.250',-0.110
'0:00.260',-0.225
'0:00.270',-0.080
'0:00.280',0.110
'0:00.290',-0.075
'0:00.300',0.055
'0:00.310',0.125
'0:00.320',0.080
'0:00.330',-0.130
'0:00.340',0.035
'0:00.350',-0.115
'0:00.360',-0.290
'0:00.370',-0.315
'0:00.380',-0.045
'0:00.390',-0.170
'0:00.400',-0.285
'0:00.410',-0.270
'0:00.420',-0.130
'0:00.430',-0.270
'0:00.440',-0.160
'0:00.450',0.790
'0:00.460',3.020
'0:00.470',2.850
'0:00.480',0.005
'0:00.490',-1.965
'0:00.500',-2.010
'0:00.510',-1.425
'0:00.520',-0.560
'0:00.530',-0.270
'0:00.540',-0.160
'0:00.550',-0.140
'0:00.560',0.055
'0:00.570',-0.090
'0:00.580',-0.050
'0:00.590',0.070
'0:00.600',0.155
'0:00.610',0.010
'0:00.620',0.030
'0:00.630',-0.005
'0:00.640',0.175
'0:00.650',0.130
'0:00.660',0.180
'0:00.670',0.215
'0:00.680',0.340
'0:00.690',0.285
'0:00.700',0.430
'0:00.710',0.400
'0:00.720',0.475
'0:00.730',0.535
'0:00.740',0.630
'0:00.750',0.560
'0:00.760',0.530
'0:00.770',0.425
'0:00.780',0.420
'0:00.790',0.245
'0:00.800',0.150
'0:00.810',0.015
'0:00.820',0.105
'0:00.830',-0.090
'0:00.840',-0.140
'0:00.850',-0.160
'0:00.860',-0.020
'0:00.870',-0.265
'0:00.880',-0.210
'0:00.890',-0.180
'0:00.900',-0.240
'0:00.910',-0.325
'0:00.920',-0.185
'0:00.930',-0.230
'0:00.940',-0.095
'0:00.950',-0.210
'0:00.960',-0.065
'0:00.970',-0.025
'0:00.980',-0.045
'0:00.990',-0.045
'0:01.000',-0.025
'0:01.010',-0.145
'0:01.020',-0.050
'0:01.030',-0.090
'0:01.040',0.095
'0:01.050',-0.055
'0:01.060',-0.040
'0:01.070',-0.030
'0:01.080',-0.115
'0:01.090',-0.185
'0:01.100',0.005
'0:01.110',-0.055
'0:01.120',0.010
'0:01.130',0.010
'0:01.140',0.110
'0:01.150',-0.035
'0:01.160',0.265
'0:01.170',0.180
'0:01.180',0.155
'0:01.190',0.050
'0:01.200',-0.075
'0:01.210',-0.120
'0:01.220',-0.035
'0:01.230',-0.175
'0:01.240',-0.145
'0:01.250',-0.150
'0:01.260',-0.160
'0:01.270',-0.225
'0:01.280',-0.030
'0:01.290',-0.075
'0:01.300',-0.165
'0:01.310',0.085
'0:01.320',1.810
'0:01.330',3.435
'0:01.340',2.020
'0:01.350',-0.880
'0:01.360',-1.970
'0:01.370',-1.835
'0:01.380',-0.985
'0:01.390',-0.430
'0:01.400',-0.065
'0:01.410',-0.135
'0:01.420',-0.060
'0:01.430',-0.080
'0:01.440',0.045
'0:01.450',0.080
'0:01.460',0.100
