'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.068,-0.062,-0.502,92.000
'0:00.010',-0.067,-0.061,-0.503,92.000
'0:00.020',-0.066,-0.060,-0.504,92.000
'0:00.030',-0.065,-0.060,-0.505,92.000
'0:00.040',-0.064,-0.059,-0.506,92.000
'0:00.050',-0.063,-0.058,-0.507,92.000
'0:00.060',-0.064,-0.059,-0.507,92.000
'0:00.070',-0.065,-0.060,-0.508,92.000
'0:00.080',-0.067,-0.060,-0.508,92.000
'0:00.090',-0.068,-0.061,-0.509,92.000
'0:00.100',-0.069,-0.062,-0.510,92.000
'0:00.110',-0.068,-0.062,-0.508,92.000
'0:00.120',-0.068,-0.062,-0.506,92.000
'0:00.130',-0.068,-0.063,-0.504,92.000
'0:00.140',-0.068,-0.063,-0.503,92.000
'0:00.150',-0.068,-0.063,-0.501,92.000
'0:00.160',-0.068,-0.063,-0.495,92.000
'0:00.170',-0.068,-0.063,-0.489,92.000
'0:00.180',-0.068,-0.063,-0.483,92.000
'0:00.190',-0.068,-0.064,-0.477,92.000
'0:00.200',-0.069,-0.064,-0.471,92.000
'0:00.210',-0.070,-0.065,-0.461,92.000
'0:00.220',-0.072,-0.066,-0.451,92.000
'0:00.230',-0.074,-0.067,-0.441,92.000
'0:00.240',-0.076,-0.068,-0.431,92.000
'0:00.250',-0.078,-0.070,-0.422,92.000
'0:00.260',-0.079,-0.071,-0.410,92.000
'0:00.270',-0.080,-0.072,-0.398,92.000
'0:00.280',-0.082,-0.073,-0.386,92.000
'0:00.290',-0.083,-0.074,-0.375,92.000
'0:00.300',-0.085,-0.075,-0.363,92.000
'0:00.310',-0.087,-0.076,-0.350,92.000
'0:00.320',-0.089,-0.078,-0.338,92.000
'0:00.330',-0.091,-0.080,-0.326,92.000
'0:00.340',-0.093,-0.081,-0.313,92.000
'0:00.350',-0.095,-0.083,-0.301,92.000
'0:00.360',-0.096,-0.084,-0.289,92.000
'0:00.370',-0.097,-0.086,-0.276,92.000
'0:00.380',-0.099,-0.087,-0.264,92.000
'0:00.390',-0.100,-0.089,-0.251,92.000
'0:00.400',-0.102,-0.090,-0.239,92.000
'0:00.410',-0.102,-0.091,-0.227,92.000
'0:00.420',-0.103,-0.091,-0.215,92.000
'0:00.430',-0.104,-0.092,-0.203,92.000
'0:00.440',-0.105,-0.093,-0.191,92.000
'0:00.450',-0.105,-0.093,-0.178,92.000
'0:00.460',-0.107,-0.095,-0.167,92.000
'0:00.470',-0.109,-0.096,-0.155,92.000
'0:00.480',-0.111,-0.098,-0.144,92.000
'0:00.490',-0.112,-0.099,-0.132,92.000
'0:00.500',-0.114,-0.100,-0.120,92.000
'0:00.510',-0.115,-0.102,-0.109,92.000
'0:00.520',-0.117,-0.103,-0.098,92.000
'0:00.530',-0.118,-0.105,-0.087,92.000
'0:00.540',-0.120,-0.106,-0.076,92.000
'0:00.550',-0.121,-0.107,-0.065,92.000
'0:00.560',-0.122,-0.108,-0.054,92.000
'0:00.570',-0.124,-0.109,-0.044,92.000
'0:00.580',-0.125,-0.110,-0.034,92.000
'0:00.590',-0.127,-0.112,-0.024,92.000
'0:00.600',-0.128,-0.113,-0.013,92.000
'0:00.610',-0.130,-0.114,-0.004,92.000
'0:00.620',-0.133,-0.116,0.006,92.000
'0:00.630',-0.135,-0.118,0.015,92.000
'0:00.640',-0.138,-0.120,0.025,92.000
'0:00.650',-0.140,-0.122,0.035,92.000
'0:00.660',-0.142,-0.123,0.044,92.000
'0:00.670',-0.144,-0.125,0.053,92.000
'0:00.680',-0.147,-0.126,0.062,92.000
'0:00.690',-0.149,-0.128,0.071,92.000
'0:00.700',-0.151,-0.129,0.080,92.000
'0:00.710',-0.152,-0.130,0.088,92.000
'0:00.720',-0.153,-0.131,0.096,92.000
'0:00.730',-0.154,-0.132,0.104,92.000
'0:00.740',-0.155,-0.133,0.112,92.000
'0:00.750',-0.157,-0.134,0.120,92.000
'0:00.760',-0.158,-0.135,0.127,92.000
'0:00.770',-0.158,-0.136,0.134,92.000
'0:00.780',-0.159,-0.137,0.141,92.000
'0:00.790',-0.160,-0.139,0.149,92.000
'0:00.800',-0.161,-0.140,0.156,92.000
'0:00.810',-0.163,-0.141,0.162,92.000
'0:00.820',-0.165,-0.143,0.169,92.000
'0:00.830',-0.166,-0.144,0.175,92.000
'0:00.840',-0.168,-0.145,0.182,92.000
'0:00.850',-0.170,-0.147,0.188,92.000
'0:00.860',-0.171,-0.148,0.194,92.000
'0:00.870',-0.172,-0.148,0.199,92.000
'0:00.880',-0.173,-0.149,0.205,92.000
'0:00.890',-0.174,-0.150,0.210,92.000
'0:00.900',-0.175,-0.151,0.216,92.000
'0:00.910',-0.176,-0.151,0.221,92.000
'0:00.920',-0.177,-0.152,0.226,92.000
'0:00.930',-0.177,-0.152,0.231,92.000
'0:00.940',-0.178,-0.153,0.236,92.000
'0:00.950',-0.179,-0.154,0.241,92.000
'0:00.960',-0.180,-0.155,0.246,92.000
'0:00.970',-0.182,-0.156,0.251,92.000
'0:00.980',-0.183,-0.157,0.256,92.000
'0:00.990',-0.185,-0.158,0.261,92.000
'0:01.000',-0.186,-0.159,0.266,92.000
'0:01.010',-0.187,-0.160,0.270,92.000
'0:01.020',-0.189,-0.161,0.275,92.000
'0:01.030',-0.190,-0.162,0.279,92.000
'0:01.040',-0.191,-0.163,0.283,92.000
'0:01.050',-0.192,-0.164,0.288,92.000
'0:01.060',-0.193,-0.165,0.292,92.000
'0:01.070',-0.195,-0.166,0.296,92.000
'0:01.080',-0.196,-0.167,0.300,92.000
'0:01.090',-0.197,-0.167,0.304,92.000
'0:01.100',-0.198,-0.168,0.308,92.000
'0:01.110',-0.199,-0.169,0.312,92.000
'0:01.120',-0.199,-0.170,0.315,92.000
'0:01.130',-0.200,-0.170,0.319,92.000
'0:01.140',-0.201,-0.171,0.322,92.000
'0:01.150',-0.201,-0.172,0.326,92.000
'0:01.160',-0.203,-0.173,0.329,92.000
'0:01.170',-0.204,-0.174,0.332,92.000
'0:01.180',-0.205,-0.175,0.335,92.000
'0:01.190',-0.207,-0.176,0.338,92.000
'0:01.200',-0.208,-0.177,0.341,92.000
'0:01.210',-0.212,-0.179,0.343,92.000
'0:01.220',-0.215,-0.181,0.346,92.000
'0:01.230',-0.219,-0.184,0.348,92.000
'0:01.240',-0.222,-0.186,0.351,92.000
'0:01.250',-0.226,-0.188,0.353,92.000
'0:01.260',-0.227,-0.189,0.355,92.000
'0:01.270',-0.229,-0.190,0.358,92.000
'0:01.280',-0.230,-0.191,0.360,92.000
'0:01.290',-0.232,-0.192,0.362,92.000
'0:01.300',-0.234,-0.193,0.364,92.000
'0:01.310',-0.233,-0.193,0.366,92.000
'0:01.320',-0.232,-0.193,0.368,92.000
'0:01.330',-0.232,-0.193,0.370,92.000
'0:01.340',-0.231,-0.193,0.372,92.000
'0:01.350',-0.231,-0.193,0.374,92.000
'0:01.360',-0.232,-0.193,0.376,92.000
'0:01.370',-0.233,-0.194,0.378,92.000
'0:01.380',-0.234,-0.195,0.379,92.000
'0:01.390',-0.235,-0.196,0.381,92.000
'0:01.400',-0.236,-0.197,0.383,92.000
'0:01.410',-0.237,-0.197,0.384,92.000
'0:01.420',-0.238,-0.198,0.386,92.000
'0:01.430',-0.240,-0.199,0.387,92.000
'0:01.440',-0.241,-0.200,0.388,92.000
'0:01.450',-0.242,-0.201,0.390,92.000
'0:01.460',-0.243,-0.202,0.391,92.000
'0:01.470',-0.244,-0.202,0.392,92.000
'0:01.480',-0.245,-0.203,0.393,92.000
'0:01.490',-0.245,-0.204,0.395,92.000
'0:01.500',-0.246,-0.204,0.396,92.000
'0:01.510',-0.247,-0.205,0.397,92.000
'0:01.520',-0.248,-0.206,0.398,92.000
'0:01.530',-0.249,-0.207,0.399,92.000
'0:01.540',-0.250,-0.208,0.400,92.000
'0:01.550',-0.251,-0.209,0.401,92.000
'0:01.560',-0.250,-0.209,0.402,92.000
'0:01.570',-0.250,-0.208,0.403,92.000
'0:01.580',-0.249,-0.208,0.403,92.000
'0:01.590',-0.249,-0.208,0.404,92.000
'0:01.600',-0.248,-0.207,0.405,92.000
'0:01.610',-0.249,-0.208,0.405,92.000
'0:01.620',-0.249,-0.208,0.406,92.000
'0:01.630',-0.249,-0.208,0.407,92.000
'0:01.640',-0.250,-0.208,0.407,92.000
'0:01.650',-0.250,-0.209,0.408,92.000
'0:01.660',-0.252,-0.209,0.408,92.000
'0:01.670',-0.254,-0.210,0.408,92.000
'0:01.680',-0.255,-0.211,0.409,92.000
'0:01.690',-0.257,-0.212,0.409,92.000
'0:01.700',-0.258,-0.213,0.410,92.000
'0:01.710',-0.260,-0.214,0.410,92.000
'0:01.720',-0.262,-0.214,0.410,92.000
'0:01.730',-0.263,-0.215,0.410,92.000
