'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.095,-0.080,-0.048,0.000
'0:00.010',-0.095,-0.080,-0.048,0.000
'0:00.020',-0.094,-0.080,-0.048,0.000
'0:00.030',-0.094,-0.080,-0.048,0.000
'0:00.040',-0.094,-0.079,-0.048,0.000
'0:00.050',-0.093,-0.079,-0.048,0.000
'0:00.060',-0.093,-0.079,-0.048,0.000
'0:00.070',-0.093,-0.079,-0.048,0.000
'0:00.080',-0.093,-0.079,-0.048,0.000
'0:00.090',-0.093,-0.079,-0.048,0.000
'0:00.100',-0.093,-0.079,-0.048,0.000
'0:00.110',-0.094,-0.079,-0.048,0.000
'0:00.120',-0.094,-0.079,-0.048,0.000
'0:00.130',-0.094,-0.079,-0.048,0.000
'0:00.140',-0.094,-0.080,-0.048,0.000
'0:00.150',-0.095,-0.080,-0.048,0.000
'0:00.160',-0.094,-0.080,-0.048,0.000
'0:00.170',-0.094,-0.079,-0.048,0.000
'0:00.180',-0.094,-0.079,-0.048,0.000
'0:00.190',-0.094,-0.079,-0.048,0.000
'0:00.200',-0.094,-0.079,-0.048,0.000
'0:00.210',-0.094,-0.079,-0.048,0.000
'0:00.220',-0.094,-0.079,-0.048,0.000
'0:00.230',-0.094,-0.079,-0.048,0.000
'0:00.240',-0.094,-0.079,-0.048,0.000
'0:00.250',-0.094,-0.079,-0.048,0.000
'0:00.260',-0.094,-0.079,-0.048,0.000
'0:00.270',-0.095,-0.079,-0.048,0.000
'0:00.280',-0.095,-0.080,-0.048,0.000
'0:00.290',-0.095,-0.080,-0.048,0.000
'0:00.300',-0.096,-0.080,-0.048,0.000
'0:00.310',-0.096,-0.080,-0.048,0.000
'0:00.320',-0.095,-0.080,-0.048,0.000
'0:00.330',-0.095,-0.080,-0.048,0.000
'0:00.340',-0.095,-0.079,-0.048,0.000
'0:00.350',-0.095,-0.079,-0.048,0.000
'0:00.360',-0.095,-0.079,-0.048,0.000
'0:00.370',-0.095,-0.079,-0.048,0.000
'0:00.380',-0.095,-0.079,-0.048,0.000
'0:00.390',-0.095,-0.079,-0.048,0.000
'0:00.400',-0.095,-0.079,-0.048,0.000
'0:00.410',-0.095,-0.080,-0.048,0.000
'0:00.420',-0.095,-0.080,-0.048,0.000
'0:00.430',-0.096,-0.080,-0.048,0.000
