'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.139,-0.634,-0.064,97.000
'0:00.010',-0.139,-0.636,-0.065,97.000
'0:00.020',-0.138,-0.637,-0.065,97.000
'0:00.030',-0.138,-0.638,-0.066,97.000
'0:00.040',-0.137,-0.639,-0.066,97.000
'0:00.050',-0.137,-0.641,-0.066,97.000
'0:00.060',-0.137,-0.638,-0.067,97.000
'0:00.070',-0.137,-0.636,-0.067,97.000
'0:00.080',-0.138,-0.633,-0.067,97.000
'0:00.090',-0.138,-0.631,-0.067,97.000
'0:00.100',-0.138,-0.628,-0.067,97.000
'0:00.110',-0.138,-0.627,-0.067,97.000
'0:00.120',-0.137,-0.626,-0.067,97.000
'0:00.130',-0.137,-0.624,-0.068,97.000
'0:00.140',-0.137,-0.623,-0.068,97.000
'0:00.150',-0.137,-0.622,-0.068,97.000
'0:00.160',-0.137,-0.624,-0.068,97.000
'0:00.170',-0.137,-0.625,-0.068,97.000
'0:00.180',-0.137,-0.627,-0.068,97.000
'0:00.190',-0.137,-0.629,-0.068,97.000
'0:00.200',-0.137,-0.631,-0.068,97.000
'0:00.210',-0.137,-0.630,-0.068,97.000
'0:00.220',-0.138,-0.629,-0.067,97.000
'0:00.230',-0.138,-0.629,-0.067,97.000
'0:00.240',-0.139,-0.628,-0.067,97.000
'0:00.250',-0.139,-0.628,-0.067,97.000
'0:00.260',-0.138,-0.625,-0.067,97.000
'0:00.270',-0.137,-0.622,-0.067,97.000
'0:00.280',-0.136,-0.619,-0.067,97.000
'0:00.290',-0.135,-0.616,-0.066,97.000
'0:00.300',-0.134,-0.613,-0.066,97.000
'0:00.310',-0.134,-0.610,-0.066,97.000
'0:00.320',-0.134,-0.608,-0.066,97.000
'0:00.330',-0.135,-0.606,-0.066,97.000
'0:00.340',-0.135,-0.603,-0.066,97.000
'0:00.350',-0.135,-0.601,-0.065,97.000
'0:00.360',-0.137,-0.601,-0.065,97.000
'0:00.370',-0.138,-0.601,-0.065,97.000
'0:00.380',-0.139,-0.600,-0.065,97.000
'0:00.390',-0.140,-0.600,-0.065,97.000
'0:00.400',-0.141,-0.600,-0.064,97.000
'0:00.410',-0.141,-0.600,-0.064,97.000
'0:00.420',-0.140,-0.599,-0.064,97.000
'0:00.430',-0.140,-0.599,-0.064,97.000
'0:00.440',-0.140,-0.599,-0.064,97.000
'0:00.450',-0.140,-0.598,-0.064,97.000
'0:00.460',-0.140,-0.599,-0.064,97.000
'0:00.470',-0.140,-0.600,-0.064,97.000
'0:00.480',-0.140,-0.601,-0.064,97.000
'0:00.490',-0.140,-0.602,-0.064,97.000
'0:00.500',-0.140,-0.603,-0.064,97.000
'0:00.510',-0.140,-0.604,-0.064,97.000
'0:00.520',-0.140,-0.606,-0.065,97.000
'0:00.530',-0.139,-0.607,-0.065,97.000
'0:00.540',-0.139,-0.608,-0.065,97.000
'0:00.550',-0.139,-0.610,-0.066,97.000
'0:00.560',-0.139,-0.613,-0.066,97.000
'0:00.570',-0.140,-0.615,-0.067,97.000
'0:00.580',-0.140,-0.618,-0.067,97.000
'0:00.590',-0.140,-0.621,-0.068,97.000
'0:00.600',-0.140,-0.623,-0.068,97.000
'0:00.610',-0.140,-0.627,-0.069,97.000
'0:00.620',-0.139,-0.631,-0.069,97.000
'0:00.630',-0.138,-0.634,-0.070,97.000
'0:00.640',-0.138,-0.638,-0.070,97.000
'0:00.650',-0.137,-0.642,-0.071,97.000
'0:00.660',-0.138,-0.641,-0.072,97.000
'0:00.670',-0.139,-0.641,-0.072,97.000
'0:00.680',-0.140,-0.641,-0.073,97.000
'0:00.690',-0.141,-0.640,-0.073,97.000
'0:00.700',-0.142,-0.640,-0.074,97.000
'0:00.710',-0.144,-0.643,-0.074,97.000
'0:00.720',-0.145,-0.647,-0.075,97.000
'0:00.730',-0.146,-0.650,-0.075,97.000
'0:00.740',-0.147,-0.654,-0.075,97.000
'0:00.750',-0.149,-0.657,-0.076,97.000
'0:00.760',-0.146,-0.663,-0.076,97.000
'0:00.770',-0.144,-0.670,-0.076,97.000
'0:00.780',-0.141,-0.677,-0.077,97.000
'0:00.790',-0.139,-0.683,-0.077,97.000
'0:00.800',-0.137,-0.690,-0.077,97.000
'0:00.810',-0.135,-0.695,-0.078,97.000
'0:00.820',-0.134,-0.701,-0.078,97.000
'0:00.830',-0.132,-0.706,-0.078,97.000
'0:00.840',-0.131,-0.712,-0.079,97.000
'0:00.850',-0.129,-0.717,-0.079,97.000
'0:00.860',-0.126,-0.720,-0.080,97.000
'0:00.870',-0.123,-0.723,-0.080,97.000
'0:00.880',-0.120,-0.726,-0.081,97.000
'0:00.890',-0.117,-0.728,-0.081,97.000
'0:00.900',-0.114,-0.731,-0.082,97.000
'0:00.910',-0.110,-0.730,-0.082,97.000
'0:00.920',-0.106,-0.729,-0.082,97.000
'0:00.930',-0.102,-0.728,-0.083,97.000
'0:00.940',-0.098,-0.726,-0.083,97.000
'0:00.950',-0.094,-0.725,-0.084,97.000
'0:00.960',-0.093,-0.721,-0.084,97.000
'0:00.970',-0.092,-0.717,-0.085,97.000
'0:00.980',-0.090,-0.713,-0.085,97.000
'0:00.990',-0.089,-0.709,-0.085,97.000
'0:01.000',-0.088,-0.705,-0.086,97.000
'0:01.010',-0.087,-0.694,-0.086,97.000
'0:01.020',-0.086,-0.683,-0.086,97.000
'0:01.030',-0.085,-0.672,-0.086,97.000
'0:01.040',-0.085,-0.661,-0.087,97.000
'0:01.050',-0.084,-0.650,-0.087,97.000
'0:01.060',-0.083,-0.635,-0.087,97.000
'0:01.070',-0.082,-0.621,-0.087,97.000
'0:01.080',-0.081,-0.606,-0.088,97.000
'0:01.090',-0.079,-0.591,-0.088,97.000
'0:01.100',-0.078,-0.576,-0.088,97.000
'0:01.110',-0.078,-0.566,-0.088,97.000
'0:01.120',-0.077,-0.556,-0.088,97.000
'0:01.130',-0.076,-0.546,-0.089,97.000
'0:01.140',-0.076,-0.536,-0.089,97.000
'0:01.150',-0.075,-0.526,-0.089,97.000
'0:01.160',-0.073,-0.518,-0.089,97.000
'0:01.170',-0.071,-0.510,-0.089,97.000
'0:01.180',-0.069,-0.502,-0.089,97.000
